店號,店名,地址,縣市
186548,森鑽,台北市中山區林森北路101號1樓,台北市
186559,國學,台北市中山區長春路182號,台北市
186652,新艋舺,台北市萬華區萬大路292號,台北市
186663,實踐大,台北市中山區大直街70號1樓,台北市
186696,鐏賢,台北市北投區尊賢街247號,台北市
186711,興義,台北市萬華區興義街6號8號1樓,台北市
187057,鑫泉州,台北市中正區汀州路一段285號一樓,台北市
187286,西安,台北市北投區大興街44號46號1樓,台北市
187389,廣明,台北市萬華區昆明街285號之3之4,台北市
187460,社鑽,台北市士林區中正路639號1樓,台北市
187541,德華,台北市士林區文林路669號1樓及B1,台北市
187552,大中,台北市北投區中央南路一段114號,台北市
187758,東洋,台北市士林區中山北路七段14巷19號Ｂ1,台北市
187781,華江,台北市萬華區華江里20鄰環河南路二段200號,台北市
187806,征唐,台北市松山區新東街41-7號,台北市
187817,萬福,台北市文山區萬年里羅斯福路五段170巷33及35號,台北市
187862,全球,台北市內湖區新湖二路329號1樓,台北市
187909,滬江,台北市文山區羅斯福路六段308號310號,台北市
187921,合旺,台北市大安區復興南路二段151巷41號,台北市
188005,福致,台北市北投區致遠一路二段49號51號1樓,台北市
188094,信吉,台北市信義區永吉路278巷58弄2號,台北市
188326,雄強,台北市南港區忠孝東路六段276號,台北市
188452,行龍,台北市內湖區行愛路128號,台北市
188588,圓武,台北市中山區吉林路28號,台北市
188599,鑫青天,台北市萬華區青年路144號,台北市
188681,松民,台北市松山區三民路10號,台北市
188717,國賓,台北市中山區中山北路二段77巷3號5號1樓,台北市
189178,軍總,台北市中正區汀州路三段129號,台北市
189259,錦合,台北市中山區合江街117號,台北市
189271,永康,台北市大安區永康街43號,台北市
189363,文新,台北市文山區樟新里木新路三段276號,台北市
189400,星成,台北市內湖區星雲街17號,台北市
189411,紫陽,台北市內湖區紫陽里陽光街159號,台北市
189695,文忠,台北市文山區忠順街二段10號1樓,台北市
189710,長塑,台北市松山區敦化北路199巷2弄9號1樓,台北市
189776,桂明,台北市萬華區桂林路55號,台北市
189983,樂利,台北市大安區樂利路76號78號1樓,台北市
190042,羅斯福,台北市文山區羅斯福路五段216號,台北市
190064,京復,台北市松山區光復北路11巷44號,台北市
190097,德誠,台北市士林區德行東路106號108號1樓,台北市
190123,世新大,台北市文山區木柵路一段17巷1號1樓,台北市
190145,鑫壽,台北市松山區延壽街323號,台北市
190156,新萬隆,台北市文山區羅斯福路六段20號22號,台北市
190259,信德,台北市信義區松德路200巷10號,台北市
190282,景華,台北市文山區興東里景華街130號,台北市
190293,冬樂,台北市士林區美崙街112號一樓,台北市
190330,必成,台北市信義區基隆路一段178號180號1樓,台北市
190363,寶德,台北市松山區八德路四段321號,台北市
190477,麗安,台北市內湖區內湖路一段445號1樓,台北市
190503,台科一,台北市大安區基隆路四段43號1樓,台北市
190570,敦隆,台北市大安區敦化南路二段182號,台北市
190592,德天,台北市士林區德行西路52號1樓,台北市
190617,凱立,台北市士林區忠義街68號,台北市
190628,臨沂,台北市中正區文祥里臨沂街74號76號,台北市
190743,博源,台北市中正區思源街16號,台北市
190891,天鑫,台北市士林區天玉街8號,台北市
190905,興復,台北市中山區興安街112號一樓,台北市
